mese,fascia_eta,regione,predizione_vaccini
1 MARCH,16-19,Lazio,6
1 MARCH,16-19,Puglia,6
1 MARCH,16-19,Veneto,5
1 MARCH,16-19,Toscana,5
1 MARCH,16-19,Sicilia,5
1 MARCH,20-29,Toscana,444
1 MARCH,20-29,Puglia,362
1 MARCH,20-29,Veneto,334
1 MARCH,20-29,Piemonte,283
1 MARCH,20-29,Lombardia,271
1 MARCH,30-39,Toscana,911
1 MARCH,30-39,Campania,564
1 MARCH,30-39,Puglia,544
1 MARCH,30-39,Piemonte,394
1 MARCH,30-39,Lombardia,387
1 MARCH,40-49,Toscana,1424
1 MARCH,40-49,Campania,1150
1 MARCH,40-49,Puglia,917
1 MARCH,40-49,Lazio,880
1 MARCH,40-49,Sicilia,678
1 MARCH,50-59,Campania,1867
1 MARCH,50-59,Lazio,1159
1 MARCH,50-59,Toscana,1068
1 MARCH,50-59,Puglia,971
1 MARCH,50-59,Sicilia,622
1 MARCH,60-69,Campania,960
1 MARCH,60-69,Puglia,440
1 MARCH,60-69,Lazio,287
1 MARCH,60-69,Toscana,236
1 MARCH,60-69,Veneto,164
1 MARCH,70-79,Lombardia,133
1 MARCH,70-79,Lazio,91
1 MARCH,70-79,Toscana,54
1 MARCH,70-79,Sardegna,54
1 MARCH,70-79,Sicilia,49
1 MARCH,80-89,Lazio,3192
1 MARCH,80-89,Lombardia,2988
1 MARCH,80-89,Emilia-Romagna,2928
1 MARCH,80-89,Campania,2616
1 MARCH,80-89,Veneto,2425
1 MARCH,90+,Emilia-Romagna,1389
1 MARCH,90+,Lombardia,1077
1 MARCH,90+,Lazio,705
1 MARCH,90+,Toscana,600
1 MARCH,90+,Piemonte,592
1 APRIL,16-19,Lombardia,29
1 APRIL,16-19,Sicilia,25
1 APRIL,16-19,Campania,22
1 APRIL,16-19,Veneto,21
1 APRIL,16-19,Lazio,20
1 APRIL,20-29,Lombardia,1232
1 APRIL,20-29,Veneto,518
1 APRIL,20-29,Lazio,291
1 APRIL,20-29,Campania,278
1 APRIL,20-29,Piemonte,254
1 APRIL,30-39,Lombardia,1906
1 APRIL,30-39,Veneto,551
1 APRIL,30-39,Lazio,537
1 APRIL,30-39,Piemonte,343
1 APRIL,30-39,Campania,323
1 APRIL,40-49,Lombardia,2619
1 APRIL,40-49,Veneto,781
1 APRIL,40-49,Lazio,615
1 APRIL,40-49,Sardegna,487
1 APRIL,40-49,Piemonte,404
1 APRIL,50-59,Lombardia,3060
1 APRIL,50-59,Veneto,1154
1 APRIL,50-59,Lazio,859
1 APRIL,50-59,Liguria,641
1 APRIL,50-59,Sardegna,635
1 APRIL,60-69,Lazio,1543
1 APRIL,60-69,Lombardia,1470
1 APRIL,60-69,Veneto,1135
1 APRIL,60-69,Sicilia,968
1 APRIL,60-69,Campania,931
1 APRIL,70-79,Veneto,4257
1 APRIL,70-79,Lazio,3899
1 APRIL,70-79,Emilia-Romagna,3230
1 APRIL,70-79,Sicilia,2950
1 APRIL,70-79,Campania,2894
1 APRIL,80-89,Lombardia,11228
1 APRIL,80-89,Veneto,7134
1 APRIL,80-89,Piemonte,5466
1 APRIL,80-89,Emilia-Romagna,5160
1 APRIL,80-89,Lazio,4958
1 APRIL,90+,Lombardia,2548
1 APRIL,90+,Veneto,1743
1 APRIL,90+,Toscana,1526
1 APRIL,90+,Emilia-Romagna,1387
1 APRIL,90+,Lazio,1129
1 MAY,16-19,Lombardia,158
1 MAY,16-19,Campania,85
1 MAY,16-19,Piemonte,64
1 MAY,16-19,Sicilia,57
1 MAY,16-19,Emilia-Romagna,57
1 MAY,20-29,Lombardia,761
1 MAY,20-29,Campania,518
1 MAY,20-29,Lazio,511
1 MAY,20-29,Sicilia,442
1 MAY,20-29,Piemonte,351
1 MAY,30-39,Lombardia,856
1 MAY,30-39,Campania,705
1 MAY,30-39,Sicilia,528
1 MAY,30-39,Lazio,484
1 MAY,30-39,Emilia-Romagna,450
1 MAY,40-49,Lombardia,1516
1 MAY,40-49,Campania,1208
1 MAY,40-49,Sicilia,917
1 MAY,40-49,Emilia-Romagna,899
1 MAY,40-49,Piemonte,861
1 MAY,50-59,Lombardia,3165
1 MAY,50-59,Campania,2400
1 MAY,50-59,Sicilia,1691
1 MAY,50-59,Piemonte,1539
1 MAY,50-59,Emilia-Romagna,1447
1 MAY,60-69,Lombardia,12911
1 MAY,60-69,Campania,7136
1 MAY,60-69,Lazio,5429
1 MAY,60-69,Sicilia,4820
1 MAY,60-69,Veneto,4541
1 MAY,70-79,Lombardia,22562
1 MAY,70-79,Puglia,8277
1 MAY,70-79,Emilia-Romagna,7030
1 MAY,70-79,Lazio,6952
1 MAY,70-79,Veneto,6502
1 MAY,80-89,Lombardia,7170
1 MAY,80-89,Toscana,5468
1 MAY,80-89,Veneto,3360
1 MAY,80-89,Lazio,3315
1 MAY,80-89,Emilia-Romagna,3204
1 MAY,90+,Veneto,1414
1 MAY,90+,Lombardia,1260
1 MAY,90+,Lazio,960
1 MAY,90+,Sicilia,678
1 MAY,90+,Puglia,650
1 JUNE,16-19,Umbria,0
1 JUNE,16-19,Campania,0
1 JUNE,16-19,Puglia,0
1 JUNE,16-19,Veneto,0
1 JUNE,16-19,Sardegna,0
1 JUNE,20-29,Liguria,0
1 JUNE,20-29,Lombardia,0
1 JUNE,20-29,Veneto,0
1 JUNE,20-29,Basilicata,0
1 JUNE,20-29,Valle d'Aosta / Vallée d'Aoste,0
1 JUNE,30-39,Calabria,0
1 JUNE,30-39,Sicilia,0
1 JUNE,30-39,Lombardia,0
1 JUNE,30-39,Lazio,0
1 JUNE,30-39,Campania,0
1 JUNE,40-49,Valle d'Aosta / Vallée d'Aoste,0
1 JUNE,40-49,Puglia,0
1 JUNE,40-49,Lombardia,0
1 JUNE,40-49,Provincia Autonoma Trento,0
1 JUNE,40-49,Lazio,0
1 JUNE,50-59,Provincia Autonoma Trento,0
1 JUNE,50-59,Provincia Autonoma Bolzano / Bozen,0
1 JUNE,50-59,Puglia,0
1 JUNE,50-59,Veneto,0
1 JUNE,50-59,Umbria,0
1 JUNE,60-69,Abruzzo,0
1 JUNE,60-69,Toscana,0
1 JUNE,60-69,Molise,0
1 JUNE,60-69,Basilicata,0
1 JUNE,60-69,Provincia Autonoma Bolzano / Bozen,0
1 JUNE,70-79,Toscana,0
1 JUNE,70-79,Valle d'Aosta / Vallée d'Aoste,0
1 JUNE,70-79,Lazio,0
1 JUNE,70-79,Basilicata,0
1 JUNE,70-79,Liguria,0
1 JUNE,80-89,Liguria,0
1 JUNE,80-89,Calabria,0
1 JUNE,80-89,Valle d'Aosta / Vallée d'Aoste,0
1 JUNE,80-89,Marche,0
1 JUNE,80-89,Puglia,0
1 JUNE,90+,Emilia-Romagna,0
1 JUNE,90+,Piemonte,0
1 JUNE,90+,Sardegna,0
1 JUNE,90+,Lombardia,0
1 JUNE,90+,Provincia Autonoma Trento,0
